SlotName,ImageURL,AltText,PageUsedOn
hero-sushi,https://images.unsplash.com/photo-1579871494447-9811cf80d66c?w=800&q=80,Fresh sushi platter with assorted rolls,Home
hero-kiosk,https://images.unsplash.com/photo-1514933651103-005eec06c04b?w=1200&q=80,Sushi GoGo kiosk at Rivertown Mall,Home
category-signature,https://images.unsplash.com/photo-1617196034796-73dfa7b1fd56?w=600&q=80,Signature specialty sushi rolls,Home
category-classic,https://images.unsplash.com/photo-1553621042-f6e147245754?w=600&q=80,Classic California and salmon rolls,Home
category-bowls,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=600&q=80,Fresh poke bowl with salmon and toppings,Home
order-pickup,https://images.unsplash.com/photo-1504674900247-0877df9cc836?w=800&q=80,Delicious sushi ready for pickup,Home
featured-dragon,https://images.unsplash.com/photo-1611143669185-af224c5e3252?w=800&q=80,Dragon roll with avocado and eel,Home
featured-poke,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=800&q=80,Salmon poke bowl with fresh toppings,Home
perk-rewards,https://images.unsplash.com/photo-1590846083693-f23fdede3a7e?w=600&q=80,Reward points loyalty card concept,Home
perk-birthday,https://images.unsplash.com/photo-1562802378-063ec186a863?w=600&q=80,Birthday celebration with sushi,Home
perk-fresh,https://images.unsplash.com/photo-1583623025817-d180a2221d0a?w=600&q=80,Chef preparing fresh sushi rolls,Home
